suite,delay_ms,jitter_ms,rate_mbps,loss_pct,loss_correlation_pct,queue_depth_packets,common_link_category,algorithm,n_trials,n_valid_throughput,mean_throughput_mbps,median_throughput_mbps,std_throughput_mbps,sem_throughput_mbps,ci95_throughput_mbps,mean_utilization,median_utilization,std_utilization,sem_utilization,ci95_utilization,mean_retransmits,mean_retransmits_per_second,std_retransmits_per_second,sem_retransmits_per_second,ci95_retransmits_per_second,mean_rtt_ms,p95_rtt_ms,mean_cwnd_bytes,mean_snd_wnd_bytes,mean_convergence_time_s,ci95_convergence_time_s
loss,50.0,0.0,50.0,0.0,0.0,417,,reno,5,5,47.79528555675839,47.791817013130014,0.011348946992671227,0.005075403389730934,0.014091578898322767,0.9559057111351678,0.9558363402626003,0.00022697893985342034,0.00010150806779461681,0.00028183157796645016,19.8,0.11000006224697294,0.010686354824183843,0.004779083163711577,0.01326886205722022,,,,,1.0001548,3.411074965318806e-05
loss,50.0,0.0,50.0,0.0,0.0,417,,vegas,5,5,47.808058358496204,47.809230615931654,0.002555625674240527,0.0011429105465291102,0.0031732283925896888,0.9561611671699239,0.956184612318633,5.1112513484794914e-05,2.285821093057522e-05,6.346456785177439e-05,0.0,0.0,0.0,0.0,0.0,,,,,1.0001818,9.948820678913194e-06
loss,50.0,0.0,50.0,0.01,0.0,417,,bbrv3,5,5,47.02857147689075,47.04004924419822,0.11298974767491962,0.05053055131233381,0.1402953018540754,0.940571429537815,0.9408009848839645,0.002259794953498391,0.0010106110262466756,0.0028059060370815066,74.2,0.4122216195646164,0.053776414280423755,0.024049543583443588,0.06677223756449308,,,,,1.2002793999999999,0.5557697650646789
loss,50.0,0.0,50.0,0.01,0.0,417,,cubic,5,5,30.27236618061911,31.002921869004165,1.9321480170242924,0.8640828617315477,2.399078631939862,0.6054473236123823,0.6200584373800833,0.03864296034048583,0.017281657234630945,0.04798157263879722,51.2,0.2844441844688239,0.026469348782283516,0.011837452639467444,0.03286603743886015,,,,,6.600349799999999,13.562418707587096
loss,50.0,0.0,50.0,0.01,0.0,417,,reno,5,5,28.810271440510586,28.719491108283936,2.5655880212286566,1.1473658435452898,3.185598280182463,0.5762054288102118,0.5743898221656787,0.05131176042457313,0.022947316870905798,0.06371196560364926,42.8,0.23777833736090176,0.019404959907669085,0.008678161890841222,0.024094440103940185,,,,,6.2003984,6.415679208736992
loss,50.0,0.0,50.0,0.01,0.0,417,,vegas,5,5,21.40495956300962,23.76768331794651,6.472726884455478,2.894691462686575,8.036951942633998,0.4280991912601924,0.47535366635893017,0.12945453768910956,0.057893829253731495,0.16073903885267993,31.6,0.1755557535087344,0.06341630338986348,0.028360633052297017,0.07874174081836095,,,,,3.8004130000000003,3.44523706053045
loss,50.0,0.0,50.0,0.1,0.0,417,,bbrv3,5,5,46.99368226681282,46.95292554417554,0.06661692274842264,0.029791993543465026,0.0827158346478379,0.9398736453362563,0.9390585108835109,0.0013323384549684466,0.0005958398708692977,0.00165431669295675,751.8,4.176666566858432,0.16667853205296546,0.07454090561206167,0.20695873252361974,,,,,1.6001262,1.6658787262294878
loss,50.0,0.0,50.0,0.1,0.0,417,,cubic,5,5,8.429368777060741,8.45270896405483,0.3683790649529211,0.1647441261445084,0.45740302264400906,0.16858737554121486,0.1690541792810966,0.0073675812990584245,0.003294882522890169,0.009148060452880184,137.4,0.7633316926211501,0.015008350929508961,0.006711938581710838,0.01863532902157931,,,,,5.200941,7.470784338536667
loss,50.0,0.0,50.0,0.1,0.0,417,,reno,5,5,8.91173085996154,8.8487824843826,0.48337716505799155,0.21617283996816103,0.6001920234063077,0.17823461719923078,0.176975649687652,0.009667543301159837,0.004323456799363223,0.012003840468126163,134.0,0.7444441600755203,0.027495578863596555,0.012296396683941663,0.03414027038470027,,,,,9.801349400000001,7.207233383686431
loss,50.0,0.0,50.0,0.1,0.0,417,,vegas,5,5,8.8592981768868,8.81384242417145,0.1970958575072918,0.08814394709398334,0.24472683046190377,0.17718596353773597,0.17627684848342898,0.0039419171501458425,0.0017628789418796696,0.004894536609238083,143.8,0.7988885187649518,0.02056247052962447,0.009195816377915283,0.02553167937076064,,,,,8.4009634,9.02214357623378
